launch_id,launch_at,rocket_id,launchpad_id,state_id
2003-031,1056931200.0,54,0,1
2005-043,1130371200.0,38,1,1
2006-005,1140480000.0,42,2,1
2006-058,1166227200.0,43,4,1
2006-F03,1153872000.0,25,3,0
2007-012,1176768000.0,25,3,1
2008-021,1209340800.0,48,5,1
2008-F01,1217721600.0,28,6,0
2009-028,1242691200.0,43,4,1
2009-051,1253664000.0,48,7,1
2010-020,1274313600.0,32,8,1
2010-035,1278892800.0,48,7,1
2010-062,1290211200.0,44,9,1
2010-066,1291766400.0,29,10,1
2011-058,1318377600.0,48,7,1
2011-061,1319760000.0,24,12,1
2011-F01,1299196800.0,66,11,0
2012-006,1329091200.0,68,13,1
2012-038,1342828800.0,33,14,1
2012-048,1347494400.0,8,15,1
2013-009,1361750400.0,48,7,1
2013-015,1366329600.0,60,16,1
2013-016,1366502400.0,1,17,1
2013-018,1366934400.0,14,18,1
2013-021,1367884800.0,68,13,1
2013-040,1375488000.0,33,14,1
2013-055,1380412800.0,29,19,1
2013-064,1384905600.0,43,4,1
2013-066,1384992000.0,25,20,1
2013-072,1386288000.0,10,15,1
2014-003,1389225600.0,2,17,1
2014-005,1391558400.0,63,21,1
2014-009,1393459200.0,32,8,1
2014-022,1397779200.0,29,10,1
2014-033,1403136000.0,25,20,1
2014-034,1404086400.0,48,7,1
2014-037,1404777600.0,61,16,1
2014-039,1405209600.0,2,17,1
2014-F02,1414454400.0,3,17,0
2015-001,1420848000.0,29,10,1
2015-003,1422662400.0,22,12,1
2015-021,1428969600.0,29,10,1
2015-025,1432080000.0,10,22,1
2015-032,1436486400.0,51,7,1
2015-038,1439942400.0,33,14,1
2015-049,1442620800.0,18,23,1
2015-051,1443139200.0,12,24,1
2015-052,1443398400.0,51,7,1
2015-058,1444262400.0,8,15,1
2015-072,1449360000.0,8,22,1
2015-077,1450224000.0,48,7,1
2015-F02,1435449600.0,29,10,0
2015-F03,1446595200.0,65,25,0
2016-019,1458691200.0,8,22,1
2016-022,1459382400.0,60,16,1
2016-025,1461542400.0,62,26,1
2016-026,1461801600.0,60,27,1
2016-040,1466553600.0,51,5,1
2016-042,1466812800.0,20,28,1
2016-051,1471219200.0,14,29,1
2016-059,1474848000.0,48,7,1
2016-062,1476662400.0,4,17,1
2016-066,1478649600.0,12,24,1
2016-067,1478822400.0,8,15,1
2016-076,1481241600.0,33,14,1
2016-083,1482883200.0,14,30,1
2017-002,1483920000.0,39,24,1
2017-008,1487116800.0,51,7,1
2017-019,1492473600.0,8,22,1
2017-021,1492646400.0,19,28,1
2017-030,1496448000.0,29,32,1
2017-033,1497398400.0,60,16,1
