name_id,name,spacecraft_id
0,1kuns-pf,1694
1,3B5GSAT,1956
2,3CAT-1,609
3,3CAT-2,341
4,3CAT-4,2488
5,3CAT-5A,1902
6,3CAT-5B,1903
7,AAC-AIS-SAT1,2184
8,AAC-AIS-SAT2,2297
9,AAC-AIS-SAT3,2383
10,AALTO-1,475
11,AAU-CUBESAT,0
12,AAUSAT 3,79
13,AAUSAT 4-1,321
14,AAUSAT 4-2,322
15,AAUSAT-II,32
16,AAUSAT5 (AAUSAT 5),1470
17,ACRUX 1,713
18,ACS3,1382
19,AE1C,2719
20,AE1D,2720
21,AENEAS,1407
22,AEROCUBE 10A (JIMSAT),1792
23,AEROCUBE 10B (DOUGSAT),1791
24,AEROCUBE 12A,565
25,AEROCUBE 12B,566
26,AEROCUBE 14A,737
27,AEROCUBE 14B,736
28,AEROCUBE 15A,738
29,AEROCUBE 15B,739
30,AEROCUBE 2,25
31,AEROCUBE 3,39
32,AEROCUBE 4,1416
33,AEROCUBE 4.5A,1414
34,AEROCUBE 4.5B,1415
35,AEROCUBE 5A,133
36,AEROCUBE 5B,132
37,AEROCUBE 5C,292
38,AEROCUBE 6A,187
39,AEROCUBE 6B,188
40,AEROCUBE 7,293
41,AEROCUBE 7B (OCSD B),512
42,AEROCUBE 7C (OCSD C),511
43,AEROCUBE 8A,267
44,AEROCUBE 8B,268
45,AEROCUBE 8C,353
46,AEROCUBE 8D,354
47,AFOTEC-1 (FALCON ODE),709
48,AFRL-XVI,2305
49,AII-BRAVO,1007
50,AII-CHARLIE,885
51,AII-DELTA,2291
52,AISTECHSAT 2,1737
53,AISTECHSAT-3,681
54,AL MUNTHER,2728
55,AL-FARABI 1,364
56,AL-FARABI 2,1718
57,ALEXANDER,88
58,ALFACRUX,1139
59,ALICE,134
60,ALISIO-1,2423
61,ALL-STAR/THEIA,182
62,ALPHA,1209
63,ALSAT 1N,342
64,ALTAIR (RS65S),2602
65,AMAN (Oman CubeSat),1279
66,AMGU-1 (AMURSAT),1819
67,AMICALSAT,1897
68,ANDESITE-1,1841
69,ANDESITE-2,1842
70,ANGELS,784
71,ANSER FOLLOWER 1,2312
72,ANSER FOLLOWER 2,2311
73,ANSER LEADER-S,2661
74,ANTELSAT,189
75,AOBA VELOX-IV,675
76,APSS-1,844
77,ARC-1,294
78,ARCADE (INSPIRESAT 4),1351
79,ARCCUBE 1 (RS25S),1302
80,ARCE-1A,963
81,ARCE-1B,887
82,ARCE-1C,888
83,ARCSAT-1,1140
84,ARCSTONE,2775
85,ARICA,1103
86,ARKYD 6A,1680
87,ARMADILLO,1798
88,ARMSAT1 URDANETA,2091
89,ARTHUR-1,1016
90,ASCENT,1986
91,ASGARDIA 1,513
92,ASTERISC,1104
93,ASTROBIOCUBESAT,1208
94,ASTROCAST 0.1,1714
95,ASTROCAST 0.2,682
96,ASTROCAST-0101,890
97,ASTROCAST-0102,891
98,ASTROCAST-0103,892
99,ASTROCAST-0104,893
100,ASTROCAST-0105,894
101,ASTROCAST-0201,1017
102,ASTROCAST-0202,1018
103,ASTROCAST-0203,1019
104,ASTROCAST-0204,1020
105,ASTROCAST-0205,1021
106,ASTROCAST-0301,1255
107,ASTROCAST-0302,1256
108,ASTROCAST-0303,1257
109,ASTROCAST-0304,1258
110,ASTROCAST-0401,2186
111,ASTROCAST-0402,2185
112,ASTROCAST-0403,2187
113,ASTROCAST-0404,2188
114,ATHENOXAT 1,317
115,AUBIESAT-1 (AO-71),1403
116,AUTCUBE 2,592
117,AVION KALUGA 650,1303
118,AX-1 (AOXIANG ZHIXING),340
119,AYAN-21,1080
120,"AeroCube-11A (AC11, TOMSat Eagle Scout , Rapid + Responsive + Reimagined, Testbed for Optical Missions Satellite, AEROCUBE 11-EAGLESCOUT)",1773
121,"AeroCube-11B (AC11, TOMSat R3, Rapid + Responsive + Reimagined, Testbed for Optical Missions Satellite, AEROCUBE 11-R3)",1763
122,AeroCube-16A,2463
123,AeroCube-16B,2464
124,AeroCube-18 A (AC18),2750
125,AeroCube-18 B (AC18),2749
126,ArduSat X,97
127,Arkyd 3-1,215
128,Arkyd 3-2,251
129,AstroLine 1 (Rateks-3U 1),2784
130,AstroLine 2 (Rateks-3U 2),2785
131,AstroLine 3 (Rateks-3U 3),2786
132,AstroLine 4 (Rateks-3U 4),2787
133,Ayris 1 (AYRIS-1),2290
134,Ayris 2 (AYRIS-2),2292
135,AzTechSat-1,762
136,BALKAN-1,2683
137,BARRY-1 (OTP-1),2366
138,BCCSAT-1,1957
139,BDSAT,1141
140,BDSAT-2,2174
141,BEAK,638
142,BEESAT 9-1,1811
143,BEESAT 9-2,1812
144,BEESAT-1,43
145,BEESAT-2-1,81
146,BEESAT-2-2,83
147,BEESAT-3,87
148,BEESAT-4,325
149,BEESAT-5,1959
150,BEESAT-6,1953
151,BEESAT-7,1960
152,BEESAT-8,1961
153,BEIHANGKONGSHI 1,829
154,BELL,91
155,BGUSAT,365
156,BHUTAN-1 (BIRDS-2),581
157,"BIRD-B (Brac Onnesha, BIRDS-1, BIRD BB)",466
158,BIRKELAND,2191
159,BLACK KNIGHT,104
160,BOTSAT-1,2745
161,BRICSAT-P (NO-83),269
162,BRICSAT2 (NO-103),1800
163,BRIK-II,1022
164,BRIO,1724
165,BRO-10 (Breizh Reconnaissance Orbiter),2387
166,BRO-11 (Breizh Reconnaissance Orbiter),2361
167,BRO-12 (Breizh Reconnaissance Orbiter),2436
168,BRO-13 (Breizh Reconnaissance Orbiter),2437
169,BRO-14,2539
170,BRO-15,2541
171,BRO-16,2669
172,BRO-18,2776
173,"BRO-2 (BRO-TWO, Breizh Reconnaissance Orbiter)",839
174,BRO-3 (Breizh Reconnaissance Orbiter),840
175,BRO-4 (Breizh Reconnaissance Orbiter),1083
176,BRO-5 (Breizh Reconnaissance Orbiter),2045
177,BRO-6 (Breizh Reconnaissance Orbiter),1165
178,BRO-7 (Breizh Reconnaissance Orbiter),1142
179,BRO-8 (Breizh Reconnaissance Orbiter),2158
180,BRO-9 (Breizh Reconnaissance Orbiter),2247
181,"BRO-ONE (BRO-1, BRO 1, Breizh Reconnaissance Orbiter)",727
182,BROKKR-1 (ORBASTRO-AF 1),2242
183,BUCCANEER MM,2732
184,BUCCANEER RMM,529
185,BY70-1,360
186,BY70-2,796
187,"BaYi-08 (08 Star, Bayi-08)",2424
188,Binar 2,2497
189,Binar 3,2498
190,Binar 4,2496
191,BlueWalker 1 (BW 1),683
192,CANX-1,1
193,CANX-2,33
194,CANX-7,343
195,CANYVAL-C (PUMBAA),1982
196,CANYVAL-X 2 (Jerry),1685
197,CAPE-1,26
198,CAPE-2,105
199,CAPE-3,874
200,CAPSTONE,1199
201,CAS-2T & KS-1Q,348
202,CAS-5A (FO-118),1272
203,CAS-7B,719
204,CAT (CubeSat Assessment and Test)-1,639
205,CAT (CubeSat Assessment and Test)-2,640
206,CATSAT,2484
207,CELESTA,1210
208,CELTEE 1,355
209,CENTAURI-3 (TYVAK-0210),1977
210,CENTAURI-4 (TYVAK-0211),1023
211,CENTAURI-5 (TYVAK-0212),2112
212,CENTAURI-7,2697
213,CENTAURI-8,2702
214,CERES,1766
215,CHALLENGE ONE,1952
216,CHANGSHAGAOXIN (TY 4-01),598
217,CHARGERSAT,106
218,CHEFSAT,514
219,CHEFSAT 2,606
