spacecraft_id,primary_name_id,spacecraft_type_id,family_id,model_id,add_element_id,delivery_method_id,mass,launch_at,cospar_id,launch_id,norad_id,state_orbit_id,orbit_init_altitude,orbit_init_period,orbit_init_ecs,orbit_init_inc,orb_center_id,program_id,platform_id,base_spacecraft_id,space_rocket_link,nanosats_link
0,11,0,1,5,0,1,1 kg,1056931200,2003-031G,2003-031,27846,0,813,101.14,0.000835189,98.69,0,,,,https://space.skyrocket.de/doc_sdat/aau-cubesat.htm,https://www.nanosats.eu/sat/aausat1.html
1,192,0,2,5,0,1,1 kg,1056931200,2003-031H,2003-031,27847,0,813,101.15,0.000835189,98.69,0,,,,https://space.skyrocket.de/doc_sdat/canx-1.htm,https://www.nanosats.eu/sat/canx-1.html
33,193,0,2,35,0,4,3.5 kg,1209340800,2008-021H,2008-021,32790,0,559.5,95.84,0.000937883,97.83,0,,,,https://space.skyrocket.de/doc_sdat/canx-2.htm,https://www.nanosats.eu/sat/canx-2.html
343,194,0,2,57,5,4,,1474848000,2016-059F,2016-059,41788,1,339.5,91.32,0.003352954,98.19,0,,,,https://space.skyrocket.de/doc_sdat/canx-7.htm,https://www.nanosats.eu/sat/canx-7.html
2,302,0,3,6,0,1,1 kg,1056931200,2003-031E,2003-031,27844,0,811.5,101.12,0.000904977,98.68,0,,,,https://space.skyrocket.de/doc_sdat/cute-1.htm,https://www.nanosats.eu/sat/cute-i.html
9,303,0,3,26,0,3,2 kg,1140480000,2006-005C,2006-005,28941,1,147.5,87.43,0.001150571,98.1,0,,,,https://space.skyrocket.de/doc_sdat/cute-1-7.htm,https://www.nanosats.eu/sat/cute-17-apd.html
1100,301,0,3,65,0,15,,1632700800,2021-088D,2021-088,49263,0,411,92.79,0.000589797,97.44,0,,,,https://space.skyrocket.de/doc_sdat/cute.htm,https://www.nanosats.eu/sat/cute.html
3,352,0,4,5,0,1,1 kg,1056931200,2003-031C,2003-031,27842,0,813,101.14,0.000835189,98.69,0,,,,https://space.skyrocket.de/doc_sdat/dtusat.htm,https://www.nanosats.eu/sat/dtusat-1.html
190,353,0,4,5,0,20,1 kg,1403136000,2014-033W,2014-033,40030,0,537.5,95.39,0.001085619,98.07,0,,,,https://space.skyrocket.de/doc_sdat/dtusat-2.htm,https://www.nanosats.eu/sat/dtusat-2.html
4,1806,0,5,57,0,1,4.5 kg,1056931200,2003-031F,2003-031,27845,0,809.5,101.08,0.000765963,98.67,0,,,,https://space.skyrocket.de/doc_sdat/quakesat-1.htm,https://www.nanosats.eu/sat/quakesat.html
5,289,0,6,5,0,2,1 kg,1056931200,2003-031J,2003-031,27848,0,814,101.17,0.000835073,98.68,0,,,,https://space.skyrocket.de/doc_sdat/xi-4.htm,https://www.nanosats.eu/sat/xi-iv.html
8,290,0,6,5,0,2,1 kg,1130371200,2005-043F,2005-043,28895,0,657,97.87,0.00142288,98.26,0,,,15,https://space.skyrocket.de/doc_sdat/xi-4.htm,https://www.nanosats.eu/sat/xi-v.html
6,1573,0,7,5,0,2,1 kg,1130371200,2005-043H,2005-043,28897,0,653,97.79,0.001281321,98.26,0,,,,https://space.skyrocket.de/doc_sdat/ncube-1.htm,https://www.nanosats.eu/sat/ncube-2.html
20,2627,0,7,,,1,,,,,,0,,,,,0,,,,,https://www.nanosats.eu/sat/ncube-1.html
7,2366,0,8,5,0,2,1 kg,1130371200,2005-043C,2005-043,28892,0,658.5,97.9,0.001351447,98.27,0,,,15,https://space.skyrocket.de/doc_sdat/uwe-1.htm,https://www.nanosats.eu/sat/uwe-1.html
46,2367,0,8,5,0,5,1 kg,1253664000,2009-051D,2009-051,35934,0,694.5,98.66,0.000636898,98.42,0,,,,https://space.skyrocket.de/doc_sdat/uwe-1.htm,https://www.nanosats.eu/sat/uwe-2.html
673,2369,0,8,5,3,33,1 kg,1545868800,2018-111E,2018-111,43880,0,479,94.17,0.001021898,97.58,0,,,,https://space.skyrocket.de/doc_sdat/uwe-4.htm,https://www.nanosats.eu/sat/uwe-4.html
1420,2368,0,8,5,0,13,1 kg,1384992000,2013-066AG,2013-066,39446,0,586.5,96.4,0.005389867,97.83,0,,,,https://space.skyrocket.de/doc_sdat/uwe-1.htm,https://www.nanosats.eu/sat/uwe-3.html
10,2423,0,9,,,1,,,,,,0,,,,,0,,,,,https://www.nanosats.eu/sat/aerocube-1.html
25,30,0,9,5,0,1,1 kg,1176768000,2007-012R,2007-012,31133,0,675,98.25,0.007380074,98.41,0,,,,https://space.skyrocket.de/doc_sdat/aerocube-2.htm,https://www.nanosats.eu/sat/aerocube-2.html
39,31,0,9,5,0,1,1 kg,1242691200,2009-028E,2009-028,35005,1,168,87.85,0.002599786,40.45,0,,,,https://space.skyrocket.de/doc_sdat/aerocube-3.htm,https://www.nanosats.eu/sat/aerocube-3.html
132,36,0,9,20,0,,2 kg,1386288000,2013-072E,2013-072,39466,1,215.5,88.81,0.001745996,120.42,0,,,,https://space.skyrocket.de/doc_sdat/aerocube-5.htm,https://www.nanosats.eu/sat/aerocube-5.html
133,35,0,9,20,0,,2 kg,1386288000,2013-072D,2013-072,39465,1,208.5,88.67,0.001747853,120.44,0,,,,https://space.skyrocket.de/doc_sdat/aerocube-5.htm,https://www.nanosats.eu/sat/aerocube-5.html
187,38,0,9,4,0,,0.5 kg,1403136000,2014-033AM,2014-033,40045,0,587,96.42,0.004167864,97.7,0,,,,https://space.skyrocket.de/doc_sdat/aerocube-6.htm,https://www.nanosats.eu/sat/aerocube-6.html
188,39,0,9,4,0,,0.5 kg,1403136000,2014-033AN,2014-033,40046,0,583.5,96.34,0.004098066,97.7,0,,,,https://space.skyrocket.de/doc_sdat/aerocube-6.htm,https://www.nanosats.eu/sat/aerocube-6.html
